"","Identificacion","Familia","Departamento","Genero","Edad","Parentesco","Estado.civil","Nivel.educativo.alcanzado","Empleo.antes","Rama.actividad","tiempo.en.colombia","Horas.disponibles","ocupacion","Factor.de.expansion","Ingresos_total"
"1","4804612-2-1","4804612 - 2","5","Femenino","(26,59]","Jefe de hogar","Soltero","Superior o universitaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]","Asalariado",986.750980227045,921963.018
"2","4804615-1-1","4804615 - 1","5","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","Asalariado",1572.45354177994,622800
"3","4804615-1-2","4804615 - 1","5","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]","Asalariado",1572.45354177994,810678
"4","4804692-1-2","4804692 - 1","5","Femenino","(26,59]","Nucleo familiar","Soltero","Superior o universitaria","Si","Otras actividades empresariales","Entre 1 y 5 años","(39,48]","Asalariado",1137.43219289856,810989.4
"5","4804785-1-1","4804785 - 1","8","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica primaria","Si","Transporte por vía terrestre; transporte por tuberías","Entre 1 y 5 años","(48,130]","No asalariado",513.036323834382,674700
"6","4804788-1-1","4804788 - 1","8","Masculino","(18,26]","Jefe de hogar","Soltero","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(48,130]","Asalariado",1050.37129212271,1557000
"7","4804817-1-1","4804817 - 1","8","Masculino","(18,26]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(39,48]","No asalariado",569.430414967721,934200
"8","4804821-1-8","4804821 - 1","8","Masculino","(26,59]","Otros parientes","Casado y/o union libre","Básica primaria","No","Construcción","Entre 1 y 5 años","(39,48]","No asalariado",642.910507364607,1245600
"9","4804821-1-9","4804821 - 1","8","Femenino","(26,59]","Otros No parientes","Casado y/o union libre","Básica primaria","Si","Otras actividades empresariales","Entre 1 y 5 años","(39,48]","No asalariado",642.910507364607,373680
"10","4804821-1-12","4804821 - 1","8","Femenino","(18,26]","Otros parientes","Separado y/o viudo","Media (10o -13o)","Si","Hogares privados con servicio doméstico","Entre 1 y 5 años","(39,48]","Asalariado",642.910507364607,311400
"11","4804827-1-2","4804827 - 1","8","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Mas de 5 años","(0,39]","No asalariado",587.366026427615,166080
"12","4804838-1-9","4804838 - 1","8","Masculino","(18,26]","Otros parientes","Casado y/o union libre","Media (10o -13o)","Si","Fabricación de productos de metal","Menos de 1 año","(39,48]","Asalariado",595.16851675419,830400
"13","4804839-1-2","4804839 - 1","8","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Básica primaria","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]","No asalariado",530.80299000127,622800
"14","4804842-1-1","4804842 - 1","8","Masculino","(18,26]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]","Asalariado",591.450704489167,498240
"15","4804842-1-2","4804842 - 1","8","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(39,48]","No asalariado",591.450704489167,311400
"16","4804842-1-5","4804842 - 1","8","Masculino","(18,26]","Otros parientes","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","No asalariado",591.450704489167,311400
"17","4804842-1-6","4804842 - 1","8","Femenino","(18,26]","Otros No parientes","Casado y/o union libre","Básica secundaria","No","Comercio al por mayor y al por menor","Entre 1 y 5 años","(39,48]","No asalariado",591.450704489167,259500
"18","4804842-1-8","4804842 - 1","8","Masculino","(18,26]","Otros parientes","Casado y/o union libre","Básica secundaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]","Asalariado",591.450704489167,830400
"19","4804846-1-11","4804846 - 1","8","Masculino","(26,59]","Otros parientes","Casado y/o union libre","Básica secundaria","No","Construcción","Entre 1 y 5 años","(39,48]","No asalariado",1196.86150963614,726600
"20","4804848-1-1","4804848 - 1","8","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Media (10o -13o)","No","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]","No asalariado",530.899222722399,622800
"21","4804868-1-2","4804868 - 1","8","Femenino","(59,100]","Nucleo familiar","Casado y/o union libre","Básica primaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(39,48]","No asalariado",524.540519603464,103800
"22","4805004-1-1","4805004 - 1","11","Femenino","(18,26]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(48,130]","No asalariado",3798.58761725603,778500
"23","4805004-1-2","4805004 - 1","11","Masculino","(18,26]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","No asalariado",3798.58761725603,830400
"24","4805004-1-5","4805004 - 1","11","Masculino","(14,18]","Otros parientes","Soltero","Media (10o -13o)","Si","Construcción","Menos de 1 año","(48,130]","No asalariado",3798.58761725603,415200
"25","4805026-1-1","4805026 - 1","11","Femenino","(59,100]","Jefe de hogar","Separado y/o viudo","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","No asalariado",2466.51571628696,1038000
"26","4805028-1-1","4805028 - 1","11","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Básica secundaria","Si","Comercio al por mayor y al por menor","Menos de 1 año","(48,130]","No asalariado",2797.30540788505,726600
"27","4805028-1-2","4805028 - 1","11","Femenino","(18,26]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Menos de 1 año","(48,130]","Asalariado",2797.30540788505,664320
"28","4805035-1-1","4805035 - 1","11","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Comercio al por mayor y al por menor","Menos de 1 año","(39,48]","No asalariado",2797.30540788505,62280
"29","4805035-1-2","4805035 - 1","11","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Media (10o -13o)","Si","Otras actividades de servicios","Menos de 1 año","(48,130]","No asalariado",2797.30540788505,1245600
"30","4805040-1-1","4805040 - 1","11","Femenino","(26,59]","Jefe de hogar","Soltero","Superior o universitaria","Si","Otras actividades de servicios","Menos de 1 año","(48,130]","No asalariado",2628.50728470407,1245600
"31","4805067-1-1","4805067 - 1","11","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Transporte por vía terrestre; transporte por tuberías","Entre 1 y 5 años","(39,48]","Asalariado",3456.90290257521,1561255.8
"32","4805067-1-5","4805067 - 1","11","Masculino","(26,59]","Otros parientes","Casado y/o union libre","Superior o universitaria","No","Actividades culturales y deportivas","Menos de 1 año","(48,130]","No asalariado",3456.90290257521,622800
"33","4805124-1-1","4805124 - 1","11","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Superior o universitaria","Si","Informática y actividades conexas","Entre 1 y 5 años","(48,130]","Asalariado",3173.75354358289,17646000
"34","4805180-1-1","4805180 - 1","13","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Otras actividades de servicios","Entre 1 y 5 años","(48,130]","No asalariado",373.248850055014,4152000
"35","4805187-1-1","4805187 - 1","13","Masculino","(26,59]","Jefe de hogar","Casado y/o union libre","Media (10o -13o)","Si","Otras actividades de servicios","Entre 1 y 5 años","(39,48]","Asalariado",346.184719522712,778500
"36","4805187-1-2","4805187 - 1","13","Femenino","(26,59]","Nucleo familiar","Casado y/o union libre","Superior o universitaria","Si","Hoteles, restaurantes, bares y similares","Entre 1 y 5 años","(39,48]","No asalariado",346.184719522712,467100
"37","4805201-1-1","4805201 - 1","13","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Superior o universitaria","Si","Otras actividades empresariales","Mas de 5 años","(39,48]","Asalariado",365.350063045146,1055242.218
"38","4805204-1-1","4805204 - 1","13","Femenino","(26,59]","Jefe de hogar","Separado y/o viudo","Superior o universitaria","No","Otras actividades empresariales","Mas de 5 años","(39,48]","Asalariado",313.520808071851,931971.414
"39","4805239-1-1","4805239 - 1","13","Femenino","(18,26]","Jefe de hogar","Separado y/o viudo","Media (10o -13o)","Si","Otras actividades de servicios","Menos de 1 año","(39,48]","No asalariado",282.871597951779,72660
"40","4805245-1-1","4805245 - 1","13","Masculino","(26,59]","Jefe de hogar","Separado y/o viudo","Superior o universitaria","No","Comercio al por mayor y al por menor","Entre 1 y 5 años","(48,130]","No asalariado",363.333298891255,1349400
